#Message   MsgName            MsgType   FuncPtr
# For Sn interface
Message    MBMSESNSTRTREQ     231        NULL
Message    MBMSESNSTRTRSP     232        NULL
Message    MBMSESNUPDREQ      233        NULL
Message    MBMSESNUPDRSP      234        NULL
Message    MBMSESNSTOPREQ     235        NULL
Message    MBMSESNSTOPRSP     236        NULL

#TLIV   MsgType         IEType                IECode    IEClass  Instance  List

TLIV    MBMSESNSTRTREQ  FTEID                   87        M        0       FALSE
TLIV    MBMSESNSTRTREQ  TMGI                    150       M        0       FALSE
TLIV    MBMSESNSTRTREQ  MBMS_SESS_DURATION      138       M        0       FALSE
TLIV    MBMSESNSTRTREQ  MBMS_SERV_AREA          139       M        0       FALSE
TLIV    MBMSESNSTRTREQ  MBMS_SESS_ID            140       C        0       FALSE
TLIV    MBMSESNSTRTREQ  MBMS_FLOW_ID            141       C        0       FALSE
TLIV    MBMSESNSTRTREQ  BEARER_QOS              80        M        0       FALSE
TLIV    MBMSESNSTRTREQ  MBMS_IP_MULT_DIST       142       M        0       FALSE
TLIV    MBMSESNSTRTREQ  RECOVERY                3         C        0       FALSE
TLIV    MBMSESNSTRTREQ  PRIVATE_EXT             255       O        0       FALSE

TLIV    MBMSESNSTRTRSP  CAUSE                   2         M        0       FALSE
TLIV    MBMSESNSTRTRSP  FTEID                   87        M        0       FALSE
TLIV    MBMSESNSTRTRSP  MBMS_DIST_ACK           143       M        0       FALSE
TLIV    MBMSESNSTRTRSP  FTEID                   87        C        1       FALSE
TLIV    MBMSESNSTRTRSP  RECOVERY                3         C        0       FALSE
TLIV    MBMSESNSTRTRSP  PRIVATE_EXT             255       O        0       FALSE

TLIV    MBMSESNUPDREQ   MBMS_SERV_AREA          139       C        0       FALSE
TLIV    MBMSESNUPDREQ   TMGI                    150       M        0       FALSE
TLIV    MBMSESNUPDREQ   FTEID                   87        O        0       FALSE
TLIV    MBMSESNUPDREQ   MBMS_SESS_DURATION      138       M        0       FALSE
TLIV    MBMSESNUPDREQ   BEARER_QOS              80        M        0       FALSE
TLIV    MBMSESNUPDREQ   MBMS_SESS_ID            140       C        0       FALSE
TLIV    MBMSESNUPDREQ   MBMS_FLOW_ID            141       C        0       FALSE
TLIV    MBMSESNUPDREQ   PRIVATE_EXT             255       O        0       FALSE

TLIV    MBMSESNUPDRSP   CAUSE                   2         M        0       FALSE
TLIV    MBMSESNUPDRSP   MBMS_DIST_ACK           143       C        0       FALSE
TLIV    MBMSESNUPDRSP   FTEID                   87        C        0       FALSE
TLIV    MBMSESNUPDRSP   RECOVERY                3         C        0       FALSE
TLIV    MBMSESNUPDRSP   PRIVATE_EXT             255       O        0       FALSE

TLIV    MBMSESNSTOPREQ  MBMS_FLOW_ID            141       C        0       FALSE
TLIV    MBMSESNSTOPREQ  PRIVATE_EXT             255       O        0       FALSE

TLIV    MBMSESNSTOPRSP  CAUSE                   2         M        0       FALSE
TLIV    MBMSESNSTOPRSP  PRIVATE_EXT             255       O        0       FALSE
